match_date,home_team,away_team,home_score,away_score,tournament,city,country,neutral_bool,tournament_weight,home_goals_scored_avg,away_goals_scored_avg,home_goals_conceded_avg,away_goals_conceded_avg,home_form_avg,away_form_avg,home_elo_before,away_elo_before
2022-09-22,Liechtenstein,Andorra,0.0,2.0,UEFA Nations League,Vaduz,Liechtenstein,False,1.5,0.2,0.6,1.8,1.4,0.0,0.8,1274.6895514929602,1316.7310869274745
2022-09-22,Turkey,Luxembourg,3.0,3.0,UEFA Nations League,Istanbul,Turkey,False,1.5,3.0,1.0,0.6,1.4,2.4,1.4,1566.8011499978932,1446.4049913617469
2022-09-23,Italy,England,1.0,0.0,UEFA Nations League,Milan,Italy,False,1.5,1.0,2.2,2.0,1.2,1.0,1.0,1649.4683867699816,1652.4988800514332
2022-09-23,Iraq,Oman,1.0,1.0,Jordan International Tournament,Amman,Jordan,True,1.0,0.6,1.2,1.2,1.0,1.0,1.4,1549.2721862079986,1563.0258917649758
2022-09-23,Jordan,Syria,2.0,0.0,Jordan International Tournament,Amman,Jordan,False,1.0,2.4,1.0,0.8,1.4,2.4,0.8,1574.2480600040146,1480.7525967524678
2022-09-23,Germany,Hungary,0.0,1.0,UEFA Nations League,Leipzig,Germany,False,1.5,2.4,1.8,1.2,0.8,1.8,2.0,1650.2662669486158,1591.126260323101
2022-09-23,Japan,United States,2.0,0.0,Kirin Challenge Cup,Düsseldorf,Germany,True,1.0,2.6,2.2,0.8,0.8,2.0,1.6,1691.8362948824304,1677.807919408925
2022-09-23,Bosnia and Herzegovina,Montenegro,1.0,0.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False,1.5,1.2,1.4,1.2,1.0,1.6,1.4,1498.5296725468327,1483.548923418963
2022-09-23,Georgia,North Macedonia,2.0,0.0,UEFA Nations League,Tbilisi,Georgia,False,1.5,2.8,1.4,0.4,1.2,2.6,1.4,1515.1191113427876,1537.7569959603022
2022-09-23,Bulgaria,Gibraltar,5.0,1.0,UEFA Nations League,Razgrad,Bulgaria,False,1.5,0.8,0.4,2.2,2.8,0.6,0.2,1417.7819309539098,1310.256375180044
2022-09-23,Estonia,Malta,2.0,1.0,UEFA Nations League,Tallinn,Estonia,False,1.5,0.8,1.0,1.0,3.0,1.4,1.2,1397.3174716986496,1365.9737529788256
2022-09-23,Finland,Romania,1.0,1.0,UEFA Nations League,Helsinki,Finland,False,1.5,1.0,0.6,1.4,1.2,0.8,1.2,1517.6785823664222,1491.347234869818
2022-09-24,Armenia,Ukraine,0.0,5.0,UEFA Nations League,Yerevan,Armenia,False,1.5,0.6,1.0,2.6,1.0,0.6,1.4,1458.130369012786,1569.5960494747733
2022-09-24,Fiji,Solomon Islands,2.0,2.0,MSG Prime Minister's Cup,Luganville,Vanuatu,True,1.0,1.0,1.8,1.6,1.6,1.4,2.4,1524.1930002775603,1540.082922035956
2022-09-24,Vanuatu,Papua New Guinea,0.0,1.0,MSG Prime Minister's Cup,Port Vila,Vanuatu,False,1.0,7.6,1.2,0.8,1.2,2.4,1.4,1514.0920607524827,1535.972789555282
2022-09-24,Czech Republic,Portugal,0.0,4.0,UEFA Nations League,Prague,Czech Republic,False,1.5,0.8,1.8,1.6,0.4,0.8,2.0,1558.6742620773455,1650.6452958085779
2022-09-24,Spain,Switzerland,1.0,2.0,UEFA Nations League,Zaragoza,Spain,False,1.5,1.4,1.2,0.6,1.4,2.2,1.2,1691.6292641610592,1590.534962023498
2022-09-24,Scotland,Republic of Ireland,2.0,1.0,UEFA Nations League,Glasgow,Scotland,False,1.5,2.0,1.4,1.4,0.6,1.8,1.4,1573.4678085666524,1473.7924437431464
2022-09-24,Israel,Albania,2.0,1.0,UEFA Nations League,Tel Aviv,Israel,False,1.5,2.2,0.6,2.2,1.8,1.6,0.8,1501.2581813217625,1485.757597318649
2022-09-24,Slovenia,Norway,2.0,1.0,UEFA Nations League,Ljubljana,Slovenia,False,1.5,1.0,1.2,1.8,1.0,1.0,2.0,1496.6910426598154,1599.6309180894864
2022-09-24,Serbia,Sweden,4.0,1.0,UEFA Nations League,Belgrade,Serbia,False,1.5,1.8,1.0,1.0,1.6,2.0,0.6,1609.6338270074575,1535.3344669435921
2022-09-24,Northern Ireland,Kosovo,2.0,1.0,UEFA Nations League,Belfast,Northern Ireland,False,1.5,0.8,1.2,1.2,1.2,0.6,1.4,1407.0185990564178,1457.0780563332366
2022-09-24,Cyprus,Greece,1.0,0.0,UEFA Nations League,Larnaca,Cyprus,False,1.5,0.8,1.6,1.4,0.2,1.0,2.6,1366.8881077099607,1572.0434392215236
2022-09-25,Thailand,Trinidad and Tobago,2.0,1.0,King's Cup,Chiang Mai,Thailand,False,1.0,1.6,1.8,1.0,1.0,1.6,1.8,1567.7192076097674,1507.7489646087429
2022-09-25,Malaysia,Tajikistan,0.0,0.0,King's Cup,Chiang Mai,Thailand,True,1.0,2.0,1.6,1.8,0.2,1.4,2.6,1526.4592441260986,1550.9550439723553
2022-09-25,Austria,Croatia,1.0,3.0,UEFA Nations League,Vienna,Austria,False,1.5,1.0,1.0,1.4,1.0,0.8,2.0,1535.7482148639253,1627.4651497426908
2022-09-25,Denmark,France,2.0,0.0,UEFA Nations League,Copenhagen,Denmark,False,1.5,1.4,1.0,1.0,1.0,1.8,1.0,1650.1220566806628,1690.0559178570452
2022-09-25,Wales,Poland,0.0,1.0,UEFA Nations League,Cardiff,Wales,False,1.5,1.2,1.0,1.6,2.4,0.8,0.8,1577.9476401713378,1557.723343900439
2022-09-25,Netherlands,Belgium,1.0,0.0,UEFA Nations League,Amsterdam,Netherlands,False,1.5,2.6,2.2,1.2,1.4,2.6,2.0,1699.9519128079799,1721.0558769293507
2022-09-25,Faroe Islands,Turkey,2.0,1.0,UEFA Nations League,Tórshavn,Faroe Islands,False,1.5,1.0,3.4,1.8,0.6,1.0,2.6,1368.6598352461303,1562.2683678068095
2022-09-25,Luxembourg,Lithuania,1.0,0.0,UEFA Nations League,Luxembourg,Luxembourg,False,1.5,1.6,0.4,1.4,2.6,1.6,0.2,1450.9377735528305,1294.001704432686
2022-09-25,Moldova,Liechtenstein,2.0,0.0,UEFA Nations League,Chișinău,Moldova,False,1.5,1.6,0.2,1.2,1.8,2.0,0.0,1348.2625461339305,1262.7272377513284
2022-09-25,Slovakia,Belarus,1.0,1.0,UEFA Nations League,Bačka Topola,Serbia,True,1.5,0.8,0.4,1.0,1.2,1.2,0.4,1453.11095121455,1371.089722978672
2022-09-25,Azerbaijan,Kazakhstan,3.0,0.0,UEFA Nations League,Baku,Azerbaijan,False,1.5,0.8,1.6,0.8,0.6,1.4,2.6,1371.9400618774719,1437.0506189151
2022-09-25,Andorra,Latvia,1.0,1.0,UEFA Nations League,Andorra la Vella,Andorra,False,1.5,1.0,2.2,1.2,0.8,1.4,2.4,1328.6934006691063,1422.0176492149737
2022-09-26,San Marino,Estonia,0.0,4.0,UEFA Nations League,Serravalle,San Marino,False,1.5,0.0,1.2,3.8,0.8,0.0,2.0,1229.7525675283116,1409.69387253011
2022-09-26,Gibraltar,Georgia,1.0,2.0,UEFA Nations League,Gibraltar,Gibraltar,False,1.5,0.4,2.8,3.2,0.4,0.2,2.6,1300.7359274498444,1529.603995601134
2022-09-26,Romania,Bosnia and Herzegovina,4.0,1.0,UEFA Nations League,Bucharest,Romania,False,1.5,0.4,1.4,1.4,0.8,0.8,2.2,1492.375978858059,1511.5436300419049
2022-09-26,Montenegro,Finland,0.0,2.0,UEFA Nations League,Podgorica,Montenegro,False,1.5,1.2,1.2,0.8,1.2,1.4,1.0,1470.534965923891,1516.6498383781814
2022-09-26,North Macedonia,Bulgaria,0.0,1.0,UEFA Nations League,Skopje,North Macedonia,False,1.5,1.4,1.8,1.2,1.6,1.4,1.2,1523.2721117019557,1427.3023786841093
2022-09-26,England,Germany,3.0,3.0,UEFA Nations League,London,England,False,1.5,0.2,1.6,1.4,1.2,0.4,1.2,1636.520719775866,1633.0645711923057
2022-09-26,Jordan,Oman,1.0,0.0,Jordan International Tournament,Amman,Jordan,False,1.0,1.8,1.2,0.6,0.8,2.4,1.6,1584.274134345313,1562.4877984981958
2022-09-26,Iraq,Syria,1.0,0.0,Jordan International Tournament,Amman,Jordan,True,1.0,0.8,0.8,0.8,1.4,1.2,0.8,1549.8102794747786,1470.7265224111693
2022-09-26,Hungary,Italy,0.0,2.0,UEFA Nations League,Budapest,Hungary,False,1.5,1.6,1.2,0.6,1.4,2.0,1.6,1608.327956079411,1665.4465470455489
2022-09-27,Fiji,Papua New Guinea,0.0,1.0,MSG Prime Minister's Cup,Luganville,Vanuatu,True,1.0,1.2,1.2,1.8,1.0,1.4,1.8,1524.8145612179244,1548.717422030803
2022-09-27,Ukraine,Scotland,0.0,0.0,UEFA Nations League,Kraków,Poland,True,1.5,2.0,2.2,0.8,1.0,2.0,2.4,1578.9766248256603,1583.2697539430706
2022-09-27,Ecuador,Japan,0.0,0.0,Kirin Challenge Cup,Düsseldorf,Germany,True,1.0,1.2,2.2,1.2,0.6,1.2,2.0,1495.5496664074462,1704.8874671202327
2022-09-27,Switzerland,Czech Republic,2.0,1.0,UEFA Nations League,St. Gallen,Switzerland,False,1.5,0.8,0.8,1.6,2.2,1.2,0.8,1610.858156017027,1547.7623158346255
2022-09-27,Republic of Ireland,Armenia,3.0,2.0,UEFA Nations League,Dublin,Republic of Ireland,False,1.5,1.0,0.4,1.0,2.8,0.8,0.6,1463.9904983667282,1448.749793661899
2022-09-27,Portugal,Spain,0.0,1.0,UEFA Nations League,Braga,Portugal,False,1.5,2.2,1.4,0.4,1.0,2.0,1.6,1661.5572420512979,1671.3060701675302
2022-09-27,Norway,Serbia,0.0,2.0,UEFA Nations League,Oslo,Norway,False,1.5,1.4,2.2,1.0,1.0,2.0,2.0,1582.115355584485,1621.253068609512
2022-09-27,Albania,Iceland,1.0,1.0,UEFA Nations League,Tirana,Albania,False,1.5,0.8,1.2,2.0,1.6,0.8,0.8,1472.7639491033808,1430.0161520126842
