team,player,value
Bosnia y Herzegovina,Samed Bazdar,1.5
Bosnia y Herzegovina,Nihad Mujakic,1.2
Bosnia y Herzegovina,Dennis Hadzikadunic,1.2
Bosnia y Herzegovina,Dzenis Burnic,1.2
Bosnia y Herzegovina,Edin Dzeko,1.0
Bosnia y Herzegovina,Mladen Jurkas,0.7
RD Congo,Noah Sadiki,35.0
RD Congo,Yoane Wissa,25.0
RD Congo,Aaron Wan-Bissaka,15.0
RD Congo,Ngal'ayel Mukau,15.0
RD Congo,Simon Banza,10.0
RD Congo,Matthieu Epolo,8.0
RD Congo,Axel Tuanzebe,5.0
RD Congo,Edo Kayembe,4.0
RD Congo,Théo Bongonda,3.0
RD Congo,Steve Kapuadi,2.5
RD Congo,Charles Pickel,2.5
RD Congo,Chancel Mbemba,2.0
RD Congo,Joris Kayembe,2.0
RD Congo,Arthur Masuaku,2.0
RD Congo,Nathanaël Mbuku,2.0
RD Congo,Brian Cipenga,2.0
RD Congo,Fiston Mayele,1.8
RD Congo,Meschack Elia,1.5
RD Congo,Samuel Moutoussamy,1.2
RD Congo,Cédric Bakambu,1.2
RD Congo,Gédéon Kalulu,1.0
RD Congo,Timothy Fayulu,0.8
RD Congo,Dylan Batubinsika,0.6
RD Congo,Lionel Mpasi-Nzau,0.4
RD Congo,Gaël Kakuta,0.25
RD Congo,Aaron Tshibola,0.15
Corea del Sur,Kang-in Lee,28.0
Corea del Sur,Min-jae Kim,20.0
Corea del Sur,Heung-min Son,15.0
Corea del Sur,Hyeon-gyu Oh,15.0
Corea del Sur,Jens Castrop,10.0
Corea del Sur,In-beom Hwang,7.0
Corea del Sur,Young-woo Seol,6.5
Corea del Sur,Hee-chan Hwang,6.0
Corea del Sur,Hyun-jun Yang,5.0
Corea del Sur,Jun-ho Bae,4.0
Corea del Sur,Han-beom Lee,3.0
Corea del Sur,Gue-sung Cho,2.5
Corea del Sur,Tae-seok Lee,2.0
Corea del Sur,Seung-ho Paik,2.0
Corea del Sur,Jae-sung Lee,2.0
Corea del Sur,Ji-sung Eom,1.8
Corea del Sur,Dong-gyeong Lee,1.6
Corea del Sur,Tae-hyeon Kim,1.2
Corea del Sur,Jin-gyu Kim,1.2
Corea del Sur,Bum-keun Song,1.0
Corea del Sur,Jin-seob Park,1.0
Corea del Sur,Gi-hyuk Lee,0.8
Corea del Sur,Moon-hwan Kim,0.75
Corea del Sur,Hyeon-woo Jo,0.65
Corea del Sur,Wi-je Cho,0.55
Corea del Sur,Seung-gyu Kim,0.5
Egipto,Omar Marmoush,50.0
Egipto,Mohamed Salah,22.0
Egipto,Trezeguet,4.5
Egipto,Marwan Ateya,4.0
Egipto,Emam Ashour,4.0
Egipto,Haissem Hassan,3.5
Egipto,Zizo,3.5
Egipto,Mohanad Lasheen,3.0
Egipto,Mohamed Abdelmonem,2.5
Egipto,Ibrahim Adel,2.5
Egipto,Hossam Abdelmaguid,2.0
Egipto,Hamdy Fathy,1.8
Egipto,Mostafa Ziko,1.8
Egipto,Mohamed Hany,1.5
Egipto,Mahmoud Saber,1.5
Egipto,Hamza Abdelkarim,1.5
Egipto,Oufa Shobeir,1.2
Egipto,Mohamed Alaa,1.2
Egipto,Ahmed Fatouh,1.0
Egipto,Nabil Dunga,1.0
Egipto,Karim Hafez,0.7
Egipto,Ramy Rabia,0.6
Egipto,Mohamed El Shenawy,0.5
Egipto,Yasser Ibrahim,0.275
Egipto,Tarek Alaa,0.25
Egipto,El Mahdi Soliman,0.15
Uzbekistán,Abdukodir Khusanov,50.0
Uzbekistán,Abbosbek Fayzullaev,7.0
Uzbekistán,Eldor Shomurodov,7.0
Uzbekistán,Aziz Ganiev,2.0
Uzbekistán,Oston Urunov,2.0
Uzbekistán,Abduvokhid Nematov,1.5
Uzbekistán,Otabek Shukurov,1.5
Uzbekistán,Akmal Mozgovoy,1.4
Uzbekistán,Khozhiakbar Alizhonov,1.3
Uzbekistán,Sherzod Nasrullaev,1.2
Uzbekistán,Igor Sergeev,1.2
Uzbekistán,Odildzhon Khamrobekov,1.0
Uzbekistán,Jamshid Iskanderov,1.0
Uzbekistán,Jaloliddin Masharipov,1.0
Uzbekistán,Dostonbek Khamdamov,0.9
Uzbekistán,Rustam Ashurmatov,0.75
Uzbekistán,Jakhongir Urozov,0.6
Uzbekistán,Utkir Yusupov,0.5
Uzbekistán,Botirali Ergashev,0.5
Uzbekistán,Avazbek Ulmasaliev,0.5
Uzbekistán,Abdulla Abdullaev,0.5
Uzbekistán,Azizbek Amanov,0.5
Uzbekistán,Umar Eshmurodov,0.45
Uzbekistán,Sherzod Esanov,0.45
Uzbekistán,Bekhruz Karimov,0.35
Uzbekistán,Farrukh Sayfiev,0.225
Australia,Alessandro Circati,12.0
Australia,Jordan Bos,12.0
Australia,Cristian Volpato,10.0
Australia,Nestory Irankunda,8.0
Australia,Mohamed Touré,8.0
Australia,Lucas Herrington,4.5
Australia,Harry Souttar,3.5
Australia,Aiden O'Neill,3.0
Australia,Cammy Devlin,2.0
Australia,Mathew Ryan,1.8
Australia,Kai Trewin,1.8
Australia,Cameron Burgess,1.5
Australia,Connor Metcalfe,1.5
Australia,Paul Okon-Engstler,1.2
Australia,Patrick Beach,1.0
Australia,Jackson Irvine,1.0
Australia,Nishan Velupillay,0.65
Australia,Jacob Italiano,0.6
Australia,Ajdin Hrustic,0.6
Australia,Paul Izzo,0.5
Australia,Awer Mabil,0.5
Australia,Milos Degenek,0.45
Australia,Tete Yengi,0.45
Australia,Jason Geria,0.35
Australia,Mathew Leckie,0.3
Australia,Aziz Behich,0.25
Túnez,Hannibal,15.0
Túnez,Montassar Talbi,8.0
Túnez,Ellyes Skhiri,5.0
Túnez,Ismaël Gharbi,5.0
Túnez,Sebastian Tounekti,5.0
Túnez,Adem Arous,4.0
Túnez,Anis Ben Slimane,4.0
Túnez,Elias Achouri,3.0
Túnez,Ali Abdi,2.0
Túnez,Rani Khedira,2.0
Túnez,Mohamed Belhadj Mahmoud,2.0
Túnez,Elias Saad,2.0
Túnez,Yan Valery,1.5
Túnez,Mortadha Ben Ouanes,1.5
Túnez,Moutaz Neffati,1.2
Túnez,Firas Chaouat,1.2
Túnez,Mohamed Amine Ben Hamida,1.0
Túnez,Khalil Ayari,1.0
Túnez,Hazem Mastouri,0.9
Túnez,Abdelmouhib Chamakh,0.8
Túnez,Aymen Dahmen,0.8
Túnez,Rayan Elloumi,0.8
Túnez,Dylan Bronn,0.6
Túnez,Raed Chikhaoui,0.6
Túnez,Sabri Ben Hessen,0.55
Túnez,Omar Rekik,0.5
Haití,Wilson Isidor,18.0
Haití,Jean-Ricner Bellegarde,16.0
Haití,Danley Jean Jacques,3.0
Haití,Josué Casimir,3.0
Haití,Hannes Delcroix,2.0
Haití,Jean-Kévin Duverne,2.0
Haití,Lenny Joseph,2.0
Haití,Carlens Arcus,1.8
Haití,Frantzdy Pierrot,1.5
Haití,Louicius Deedson,1.2
Haití,Wilguens Paugain,0.8
Haití,Derrick Etienne Jr.,0.8
Haití,Duckens Nazon,0.8
Haití,Alexandre Pierre,0.7
Haití,Martin Expérience,0.35
Haití,Ricardo Adé,0.3
Haití,Ruben Providence,0.3
Haití,Yassin Fortuné,0.3
Haití,Leverton Pierre,0.2
Haití,Dominique Simon,0.2
Haití,Johny Placide,0.15
Haití,Duke Lacroix,0.125
Haití,Carl Sainté,0.125
Haití,Keeto Thermoncy,0.1
Haití,Woodensky Pierre,0.1
Haití,Josué Duverger,0.05
Arabia Saudita,Saud Abdulhamid,9.0
Arabia Saudita,Musab Al-Juwayr,6.0
Arabia Saudita,Firas Al-Buraikan,3.5
Arabia Saudita,Khalid Al-Ghannam,2.5
Arabia Saudita,Hassan Tambakti,1.8
Arabia Saudita,Mohammed Abu Al-Shamat,1.8
Arabia Saudita,Abdulelah Al-Amri,1.4
Arabia Saudita,Moteb Al-Harbi,1.4
Arabia Saudita,Ali Majrashi,1.4
Arabia Saudita,Nawaf Boushal,1.4
Arabia Saudita,Jehad Thakri,1.2
Arabia Saudita,Ayman Yahya,1.2
Arabia Saudita,Salem Al-Dawsari,1.2
Arabia Saudita,Nasser Al-Dawsari,0.9
Arabia Saudita,Ziyad Al-Johani,0.8
Arabia Saudita,Mohamed Kanno,0.8
Arabia Saudita,Ali Lajami,0.75
Arabia Saudita,Abdullah Al-Khaibari,0.75
Arabia Saudita,Nawaf Al-Aqidi,0.65
Arabia Saudita,Saleh Al-Shehri,0.5
Arabia Saudita,Sultan Mandash,0.35
Arabia Saudita,Abdullah Al-Hamdan,0.35
Arabia Saudita,Alaa Hejji,0.3
Arabia Saudita,Mohammed Al-Owais,0.275
Arabia Saudita,Hassan Kadesh,0.275
Arabia Saudita,Ahmed Al-Kassar,0.175
Panamá,Amir Murillo,7.0
Panamá,José Córdoba,5.0
Panamá,Adalberto Carrasquilla,4.0
Panamá,Andrés Andrade,2.5
Panamá,César Blackman,2.5
Panamá,José Luis Rodríguez,2.5
Panamá,Ismael Díaz,1.8
Panamá,Tomás Rodríguez,1.0
Panamá,Azarías Londoño,1.0
Panamá,Edgardo Fariña,0.9
Panamá,Jorge Gutiérrez,0.8
Panamá,Cristian Martínez,0.8
Panamá,Orlando Mosquera,0.7
Panamá,Yoel Bárcenas,0.65
Panamá,Carlos Harvey,0.6
Panamá,José Fajardo,0.55
Panamá,Jiovany Ramos,0.45
Panamá,César Yanis,0.4
Panamá,Fidel Escobar,0.35
Panamá,César Samudio,0.25
Panamá,Cecilio Waterman,0.25
Panamá,Roderick Miller,0.175
Panamá,Luis Mejía,0.15
Panamá,Aníbal Godoy,0.1
Panamá,Alberto Quintero,0.075
Panamá,Éric Davis,0.05
Nueva Zelanda,Chris Wood,5.0
Nueva Zelanda,Tyler Bindon,3.5
Nueva Zelanda,Joe Bell,3.5
Nueva Zelanda,Marko Stamenić,3.0
Nueva Zelanda,Liberato Cacace,2.5
Nueva Zelanda,Callum McCowatt,2.5
Nueva Zelanda,Elijah Just,2.5
Nueva Zelanda,Finn Surman,1.8
Nueva Zelanda,Ben Old,1.8
Nueva Zelanda,Max Crocombe,1.0
Nueva Zelanda,Jesse Randall,0.9
Nueva Zelanda,Ryan Thomas,0.65
Nueva Zelanda,Francis de Vries,0.6
Nueva Zelanda,Alex Rufer,0.6
Nueva Zelanda,Lachlan Bayliss,0.55
Nueva Zelanda,Alex Paulsen,0.5
Nueva Zelanda,Sarpreet Singh,0.5
Nueva Zelanda,Callan Elliot,0.45
Nueva Zelanda,Matthew Garbett,0.45
Nueva Zelanda,Michael Woud,0.4
Nueva Zelanda,Nando Pijnaker,0.4
Nueva Zelanda,Ben Waine,0.4
Nueva Zelanda,Tim Payne,0.35
Nueva Zelanda,Kosta Barbarouses,0.3
Nueva Zelanda,Michael Boxall,0.15
Nueva Zelanda,Tommy Smith,0.05
Curazao,Armando Obispo,4.0
Curazao,Tahith Chong,3.5
Curazao,Sontje Hansen,3.5
Curazao,Juninho Bacuna,1.7
Curazao,Riechedly Bazoer,1.5
Curazao,Deveron Fonville,1.5
Curazao,Shurandy Sambo,1.3
Curazao,Joshua Brenet,1.0
Curazao,Jearl Margaritha,1.0
Curazao,Sherel Floranus,0.8
Curazao,Jeremy Antonisse,0.8
Curazao,Tyrese Noslin,0.75
Curazao,Ar'jany Martha,0.7
Curazao,Kenji Gorré,0.6
Curazao,Livano Comenencia,0.5
Curazao,Kevin Felida,0.4
Curazao,Roshon van Eijma,0.375
Curazao,Juriën Gaari,0.35
Curazao,Godfried Roemeratoe,0.35
Curazao,Leandro Bacuna,0.25
Curazao,Brandley Kuwas,0.25
Curazao,Gervane Kastaneer,0.225
Curazao,Jürgen Locadia,0.2
Curazao,Eloy Room,0.15
Curazao,Trevor Doornbusch,0.05
Curazao,Tyrick Bodak,0.025
Jordania,Mousa Tamari,10.0
Jordania,Yazan Al-Arab,1.0
Jordania,Ali Olwan,0.8
Jordania,Shararh,0.7
Jordania,Nizar Al-Rashdan,0.6
Jordania,Mohannad Abu Taha,0.55
Jordania,Amer Jamous,0.5
Jordania,Noor Al-Rawabdeh,0.5
Jordania,Ibrahim Saadeh,0.5
Jordania,Saed Al-Rousan,0.45
Jordania,Abdallah Nasib,0.4
Jordania,Mohammad Abu Hasheesh,0.4
Jordania,Husam Abu Dahab,0.35
Jordania,Mohammad Abualnadi,0.35
Jordania,Odeh Fakhoury,0.35
Jordania,Mahmoud Al-Mardi,0.35
Jordania,Rajaei Ayed,0.325
Jordania,Ali Azaizeh,0.325
Jordania,Yazeed Abulaila,0.3
Jordania,Mohammad Abu Ghoush,0.3
Jordania,Ehsan Haddad,0.3
Jordania,Noor Bane Ataya,0.25
Jordania,Abdallah Al-Fakhouri,0.25
Jordania,Anas Badawi,0.2
Jordania,Mohammad Al-Dawoud,0.15
Jordania,Saleem Obaid,0.1
