date,home_team,away_team,team,scorer,minute,own_goal,penalty
,Uruguay,Paraguay,Uruguay,José Cea,53.0,False,False
,Uruguay,Paraguay,Paraguay,Paisano Urbita Sosa,77.0,False,False
1924-01-11,Chile,Paraguay,Paraguay,Ildefonso López,15.0,False,False
1924-01-11,Chile,Paraguay,Paraguay,Ildefonso López,33.0,False,False
1924-01-11,Chile,Paraguay,Paraguay,Gerardo Rivas,52.0,False,False
,Argentina,Paraguay,Argentina,Manuel Seoane,2.0,False,False
,Argentina,Paraguay,Argentina,Martin Sánchez,72.0,False,False
1925-06-12,Brasil,Paraguay,Brasil,Anfilogino Marques,16.0,False,False
1925-06-12,Brasil,Paraguay,Brasil,Arthur Friedenreich,18.0,False,False
1925-06-12,Brasil,Paraguay,Paraguay,Gerardo Rivas,25.0,False,False
1925-06-12,Brasil,Paraguay,Brasil,Severino Da Silva,30.0,False,False
1925-06-12,Brasil,Paraguay,Brasil,Severino Da Silva,52.0,False,False
1925-06-12,Brasil,Paraguay,Paraguay,Gerardo Rivas,55.0,False,False
1925-06-12,Brasil,Paraguay,Brasil,Nilo Braga,72.0,False,False
,Argentina,Brasil,Brasil,Nilo Braga,22.0,False,False
,Argentina,Brasil,Argentina,Manuel Seoane,41.0,False,False
,Argentina,Brasil,Argentina,Manuel Seoane,48.0,False,False
,Argentina,Brasil,Argentina,Alfredo Garasini,72.0,False,False
,Argentina,Brasil,Argentina,Manuel Seoane,74.0,False,False
,Brasil,Paraguay,Brasil,Nilo Braga,30.0,False,False
,Brasil,Paraguay,Brasil,Severino Da Silva,57.0,False,False
,Brasil,Paraguay,Paraguay,Luis Fretes,58.0,False,False
,Brasil,Paraguay,Brasil,Severino Da Silva,61.0,False,False
,Argentina,Paraguay,Paraguay,Manuel Fleitas Solich,15.0,False,False
,Argentina,Paraguay,Argentina,Domingo Tarasconi,22.0,False,False
,Argentina,Paraguay,Argentina,Manuel Seoane,32.0,False,False
,Argentina,Paraguay,Argentina,Juan Carlos Irurieta,63.0,False,False
,Argentina,Brasil,Brasil,Arthur Friedenreich,27.0,False,False
,Argentina,Brasil,Brasil,Nilo Braga,30.0,False,False
,Argentina,Brasil,Argentina,Antonio Cerroti,41.0,False,False
,Argentina,Brasil,Argentina,Manuel Seoane,55.0,False,False
,Argentina,Bolivia,Argentina,Roberto Cherro,9.0,False,False
,Argentina,Bolivia,Argentina,Roberto Cherro,19.0,False,False
,Argentina,Bolivia,Argentina,Gabino Sosa,31.0,False,False
,Argentina,Bolivia,Argentina,Benjamín Delgado,43.0,False,False
,Argentina,Bolivia,Argentina,Antonio de Miguel,74.0,False,False
,Chile,Uruguay,Uruguay,René Borjas,22.0,False,False
,Chile,Uruguay,Uruguay,Héctor Castro,32.0,False,False
,Chile,Uruguay,Uruguay,Héctor Scarone,55.0,False,False
,Argentina,Paraguay,Argentina,Gabino Sosa,11.0,False,False
,Argentina,Paraguay,Argentina,Roberto Cherro,16.0,False,False
,Argentina,Paraguay,Argentina,Gabino Sosa,32.0,False,False
,Argentina,Paraguay,Argentina,Benjamín Delgado,40.0,False,False
,Argentina,Paraguay,Argentina,Benjamín Delgado,42.0,False,False
,Argentina,Paraguay,Argentina,Antonio de Miguel,52.0,False,False
,Argentina,Paraguay,Argentina,Gabino Sosa,59.0,False,False
,Argentina,Paraguay,Argentina,Gabino Sosa,87.0,False,False
,Bolivia,Paraguay,Paraguay,Ildefonso López,57.0,False,False
,Bolivia,Paraguay,Paraguay,Ceferino Ramírez,68.0,False,False
,Bolivia,Paraguay,Paraguay,Ceferino Ramírez,72.0,False,False
,Bolivia,Paraguay,Paraguay,Pablo Ramírez,76.0,False,False
,Bolivia,Paraguay,Paraguay,Ildefonso López,81.0,False,False
,Bolivia,Paraguay,Paraguay,Ceferino Ramírez,88.0,False,False
,Argentina,Uruguay,Uruguay,René Borjas,22.0,False,False
,Argentina,Uruguay,Uruguay,Héctor Castro,73.0,False,False
,Bolivia,Uruguay,Uruguay,Héctor Scarone,9.0,False,False
,Bolivia,Uruguay,Uruguay,Héctor Scarone,12.0,False,False
,Bolivia,Uruguay,Uruguay,Héctor Scarone,28.0,False,False
,Bolivia,Uruguay,Uruguay,Héctor Scarone,39.0,False,False
,Bolivia,Uruguay,Uruguay,Ángel Romano,67.0,False,False
,Bolivia,Uruguay,Uruguay,Héctor Scarone,81.0,False,False
,Chile,Argentina,Argentina,Domingo Tarasconi,87.0,False,False
